Ensembl Gene ID	Chromosome Name	Gene Start (bp)	Gene End (bp)	% GC content	Gene type
ENSG00000166557	15	79311062	79427432	42.58	protein_coding
ENSG00000274499	15	20803505	20826173	38.34	transcribed_processed_pseudogene
ENSG00000259089	15	20813299	20814958	54.28	unprocessed_pseudogene
ENSG00000242066	15	77916718	77916982	52.08	misc_RNA
ENSG00000258916	15	20593494	20599195	58.24	unprocessed_pseudogene
ENSG00000266589	15	66496958	66497034	53.25	miRNA
ENSG00000274076	15	32446674	32446964	53.26	misc_RNA
ENSG00000252714	15	40331537	40331648	54.46	rRNA
ENSG00000200593	15	25230838	25230919	43.90	snoRNA
ENSG00000278448	15	81393625	81394082	37.55	lincRNA
ENSG00000276955	15	28524151	28524440	51.72	misc_RNA
ENSG00000259195	15	85770990	85771163	54.60	processed_pseudogene
ENSG00000137825	15	41493393	41503551	59.71	protein_coding
ENSG00000259372	15	81410517	81419127	42.82	lincRNA
ENSG00000266593	15	51242190	51242264	53.33	miRNA
ENSG00000200812	15	25180497	25180578	41.46	snoRNA
ENSG00000182405	15	34102073	34108684	42.18	protein_coding
ENSG00000272337	15	51907200	51907305	40.57	snRNA
ENSG00000259122	15	26964917	26970385	43.57	unprocessed_pseudogene
ENSG00000279409	15	40258501	40260370	51.18	TEC
ENSG00000259452	15	70791013	70791486	51.48	processed_pseudogene
ENSG00000182256	15	26971282	27541991	40.81	protein_coding
ENSG00000259722	15	77204578	77205100	46.65	processed_pseudogene
ENSG00000259743	15	46099193	46100392	42.42	processed_pseudogene
ENSG00000206987	15	32426288	32426420	44.36	snoRNA
ENSG00000136378	15	78759203	78811431	56.03	protein_coding
ENSG00000199673	15	66502812	66502910	44.44	snoRNA
ENSG00000206590	15	89714232	89714338	40.19	snRNA
ENSG00000259593	15	46341354	46341599	43.09	processed_pseudogene
ENSG00000179335	15	74598500	74645414	54.25	protein_coding
ENSG00000252964	15	86138269	86138379	47.75	rRNA
ENSG00000201831	15	25170723	25170804	40.24	snoRNA
ENSG00000223313	15	40529570	40529673	40.38	snRNA
ENSG00000251729	15	97472126	97472252	44.88	rRNA
ENSG00000259584	15	40075204	40078704	46.04	lincRNA
ENSG00000140534	15	89575482	89631056	42.67	protein_coding
ENSG00000259326	15	38502853	38504981	36.31	antisense
ENSG00000259560	15	87432058	87703852	39.25	lincRNA
ENSG00000259702	15	96049275	96064426	40.44	lincRNA
ENSG00000184984	15	33968720	34067457	40.92	protein_coding
ENSG00000277637	15	30143733	30143969	54.01	misc_RNA
ENSG00000260618	15	52577842	52598709	37.10	antisense
ENSG00000172575	15	38488103	38565575	41.82	protein_coding
ENSG00000258970	15	27418796	27420735	39.64	antisense
ENSG00000166938	15	66293217	66333898	42.92	protein_coding
ENSG00000271072	15	72450657	72451474	53.79	processed_pseudogene
ENSG00000136383	15	84816680	84873482	48.17	protein_coding
ENSG00000259645	15	69391192	69392149	49.37	sense_intronic
ENSG00000137819	15	69298947	69407780	46.86	protein_coding
ENSG00000188403	15	19964666	19965101	54.82	IG_V_gene
ENSG00000261822	15	42567031	42569994	42.68	antisense
ENSG00000259519	15	45170344	45199958	50.21	antisense
ENSG00000199712	15	25172635	25172716	42.68	snoRNA
ENSG00000274654	15	48528980	48529728	46.46	sense_intronic
ENSG00000140598	15	82130230	82262763	38.04	protein_coding
ENSG00000169684	15	78565520	78595269	40.43	protein_coding
ENSG00000259338	15	45215547	45215943	50.13	processed_pseudogene
ENSG00000246922	15	65092770	65115197	48.85	protein_coding
ENSG00000259377	15	51752485	51756475	41.42	sense_intronic
ENSG00000200638	15	25237986	25238067	37.80	snoRNA
ENSG00000222076	15	95745804	95745994	39.79	snRNA
ENSG00000265322	15	20832795	20832869	33.33	miRNA
ENSG00000259612	15	52937139	52938518	46.81	processed_pseudogene
ENSG00000248540	15	74125915	74129278	56.18	lincRNA
ENSG00000259217	15	35774801	35774950	66.00	unprocessed_pseudogene
ENSG00000259288	15	40217428	40276396	51.06	protein_coding
ENSG00000252376	15	50463381	50463498	45.76	rRNA
ENSG00000241869	15	90855935	90856207	50.92	misc_RNA
ENSG00000278472	15	33972059	33972515	35.67	sense_intronic
ENSG00000264480	15	98784426	98784502	46.75	miRNA
ENSG00000221630	15	88608107	88608197	41.76	miRNA
ENSG00000221634	15	85770496	85770578	56.63	miRNA
ENSG00000277677	15	51858070	51858352	52.65	misc_RNA
ENSG00000201086	15	49982443	49982561	47.90	rRNA
ENSG00000222123	15	25738508	25738620	40.71	rRNA
ENSG00000140464	15	73994673	74047812	47.82	protein_coding
ENSG00000260469	15	73752317	73770613	49.98	lincRNA
ENSG00000259615	15	89579765	89582297	45.08	antisense
ENSG00000166133	15	40569300	40574943	48.69	protein_coding
ENSG00000103653	15	74782057	74803198	56.64	protein_coding
ENSG00000259354	15	45448427	45513767	42.38	antisense
ENSG00000140564	15	90868592	90883458	58.47	protein_coding
ENSG00000104154	15	45479611	45522807	39.90	protein_coding
ENSG00000259701	15	51278927	51280015	43.62	sense_intronic
ENSG00000259485	15	97295881	97432094	37.69	lincRNA
ENSG00000258611	15	93065586	93066606	65.13	transcribed_processed_pseudogene
ENSG00000259756	15	62682916	62690448	41.74	antisense
ENSG00000229474	15	44665732	44711316	42.90	protein_coding
ENSG00000259405	15	40948736	40948869	50.75	processed_pseudogene
ENSG00000259427	15	45566776	45567074	49.83	transcribed_processed_pseudogene
ENSG00000283336	15	21609104	21610016	45.35	unprocessed_pseudogene
ENSG00000243007	15	72379215	72379710	50.20	processed_pseudogene
ENSG00000169032	15	66386817	66492312	44.72	protein_coding
ENSG00000259298	15	50497195	50498744	32.13	antisense
ENSG00000259324	15	22030931	22031834	42.92	unprocessed_pseudogene
ENSG00000259296	15	51707995	51715220	42.37	antisense
ENSG00000259352	15	45073492	45074048	46.68	antisense
ENSG00000259527	15	87576929	87579866	40.10	lincRNA
ENSG00000259670	15	48783190	48784121	30.15	antisense
ENSG00000259521	15	41016807	41027893	41.94	antisense
ENSG00000261714	15	75415249	75416020	51.42	processed_pseudogene
ENSG00000276744	15	75452964	75453947	57.72	sense_intronic
ENSG00000279364	15	34978351	34980084	32.12	TEC
ENSG00000154237	15	100919215	101078254	46.01	protein_coding
ENSG00000279373	15	78537681	78538946	44.87	TEC
ENSG00000166477	15	51938025	51971806	43.13	protein_coding
ENSG00000275785	15	63890030	63890317	46.53	unprocessed_pseudogene
ENSG00000137869	15	51208057	51338610	44.07	protein_coding
ENSG00000171877	15	43870761	44195252	41.23	protein_coding
ENSG00000259410	15	67832725	67873866	46.53	processed_transcript
ENSG00000212766	15	69072926	69095820	47.11	lincRNA
ENSG00000182175	15	93035273	93089204	52.94	protein_coding
ENSG00000166450	15	55611546	55743090	38.58	protein_coding
ENSG00000258433	15	95034384	95035737	41.43	lincRNA
ENSG00000232431	15	28788243	28792002	45.40	transcribed_unprocessed_pseudogene
ENSG00000259845	15	30815271	30844153	43.46	unprocessed_pseudogene
ENSG00000166922	15	32641676	32697098	42.31	protein_coding
ENSG00000228992	15	27895704	27896582	42.21	processed_pseudogene
ENSG00000250007	15	34755084	34812923	41.61	antisense
ENSG00000259556	15	51919073	51930627	43.24	unprocessed_pseudogene
ENSG00000260035	15	45200325	45200632	50.00	sense_intronic
ENSG00000140279	15	45092650	45114344	54.85	protein_coding
ENSG00000259478	15	97982509	97991142	41.22	lincRNA
ENSG00000157450	15	58865175	59097419	39.52	protein_coding
ENSG00000251161	15	40906811	40910337	56.22	lincRNA
ENSG00000259394	15	62953173	62954124	55.04	processed_pseudogene
ENSG00000197299	15	90717327	90816165	40.73	protein_coding
ENSG00000277245	15	56447120	56447697	27.68	antisense
ENSG00000261174	15	56323193	56323719	41.18	processed_pseudogene
ENSG00000151575	15	56244009	56445997	36.87	protein_coding
ENSG00000259214	15	20826454	20826640	31.02	processed_pseudogene
ENSG00000069966	15	52115105	52191369	45.39	protein_coding
ENSG00000073417	15	84980440	85139145	41.80	protein_coding
ENSG00000176753	15	40250664	40252969	58.63	processed_transcript
ENSG00000275638	15	65655620	65656085	37.34	antisense
ENSG00000259924	15	65771176	65772139	40.46	processed_pseudogene
ENSG00000168803	15	43330674	43354555	39.85	protein_coding
ENSG00000137842	15	43123279	43185146	40.55	protein_coding
ENSG00000275451	15	62343029	62343138	54.55	miRNA
ENSG00000170776	15	85380571	85749358	39.92	protein_coding
ENSG00000266545	15	20940252	20940333	37.80	miRNA
ENSG00000180953	15	79898840	79923702	41.13	protein_coding
ENSG00000175265	15	34379068	34437466	47.08	protein_coding
ENSG00000174485	15	65658046	65792293	37.31	protein_coding
ENSG00000259770	15	79944498	79945578	50.14	processed_pseudogene
ENSG00000273920	15	81335577	81336119	46.78	antisense
ENSG00000279683	15	56795382	56795522	39.72	TEC
ENSG00000239035	15	57278570	57278673	47.12	snoRNA
ENSG00000259180	15	55680385	55681463	29.94	antisense
ENSG00000271195	15	61674767	61675212	34.53	processed_pseudogene
ENSG00000259425	15	22770523	22776199	51.70	transcribed_unprocessed_pseudogene
ENSG00000140488	15	72284727	72320129	48.48	protein_coding
ENSG00000259345	15	38865322	39427195	38.89	lincRNA
ENSG00000104047	15	49620980	49656232	36.31	protein_coding
ENSG00000103995	15	48712928	48811146	36.60	protein_coding
ENSG00000259993	15	30223017	30225564	67.43	processed_pseudogene
ENSG00000279417	15	30344307	30348236	47.30	TEC
ENSG00000241362	15	89687937	89688243	44.63	processed_pseudogene
ENSG00000254398	15	28679405	28682252	46.14	unprocessed_pseudogene
ENSG00000104093	15	51447711	51622833	36.95	protein_coding
ENSG00000259621	15	98880659	98893535	45.24	antisense
ENSG00000157470	15	59372693	59523549	42.37	protein_coding
ENSG00000169856	15	52756989	52791078	46.72	protein_coding
ENSG00000275363	15	22451209	22455154	41.56	unprocessed_pseudogene
ENSG00000259751	15	34849137	34850395	49.01	processed_pseudogene
ENSG00000270015	15	30926514	30928407	51.16	sense_intronic
ENSG00000260814	15	41770756	41772732	41.27	lincRNA
ENSG00000174197	15	41621224	41773081	40.41	protein_coding
ENSG00000182253	15	99098217	99135593	49.91	protein_coding
ENSG00000276710	15	82459472	82477258	58.54	transcribed_unprocessed_pseudogene
ENSG00000259618	15	50494018	50497080	36.79	lincRNA
ENSG00000140557	15	92393828	92468728	48.00	protein_coding
ENSG00000214344	15	101842119	101850324	36.72	transcribed_unprocessed_pseudogene
ENSG00000232653	15	32593456	32607310	48.92	protein_coding
ENSG00000140497	15	74843730	74873365	51.05	protein_coding
ENSG00000259442	15	82744223	82750289	42.84	antisense
ENSG00000183655	15	85759323	85795030	53.60	protein_coding
ENSG00000117906	15	76931619	76954392	38.97	protein_coding
ENSG00000166068	15	38252326	38357249	35.39	protein_coding
ENSG00000230031	15	20835372	20866314	36.34	protein_coding
ENSG00000129003	15	61852389	62060473	34.88	protein_coding
ENSG00000281909	15	22480439	22484840	46.87	unprocessed_pseudogene
ENSG00000137802	15	41774434	41827855	49.09	protein_coding
ENSG00000166073	15	39799032	39920892	40.80	protein_coding
ENSG00000263155	15	57591941	57685364	42.16	protein_coding
ENSG00000140459	15	74337759	74367740	47.60	protein_coding
ENSG00000179361	15	74541177	74598131	46.67	protein_coding
ENSG00000156222	15	84884654	84945796	48.91	protein_coding
ENSG00000259273	15	89936492	89937005	51.36	processed_pseudogene
ENSG00000259183	15	88143935	88144165	40.69	processed_pseudogene
ENSG00000259611	15	98085627	98103712	43.18	lincRNA
ENSG00000259173	15	58755625	58756247	47.99	processed_pseudogene
ENSG00000182054	15	90083045	90102504	52.54	protein_coding
ENSG00000183578	15	51056598	51105276	44.72	protein_coding
ENSG00000280377	15	89950760	89951345	51.02	TEC
ENSG00000259720	15	31002013	31042302	41.51	antisense
ENSG00000259636	15	86932880	86946331	40.87	sense_intronic
ENSG00000166965	15	90954870	90963125	54.47	protein_coding
ENSG00000092439	15	50552473	50686815	38.89	protein_coding
ENSG00000260534	15	72589691	72591845	41.58	sense_overlapping
ENSG00000166233	15	72474326	72602985	38.73	protein_coding
ENSG00000240821	15	66379337	66379915	42.14	processed_pseudogene
ENSG00000271236	15	40760597	40760874	43.17	processed_pseudogene
ENSG00000258484	15	68818221	68946811	40.65	protein_coding
ENSG00000140350	15	68778535	68820897	49.39	protein_coding
ENSG00000244952	15	32613733	32615111	42.13	lincRNA
ENSG00000259558	15	60053204	60054092	47.02	processed_pseudogene
ENSG00000238244	15	90348844	90349197	47.46	processed_pseudogene
ENSG00000279980	15	90347587	90349437	49.00	TEC
ENSG00000258765	15	91643017	91649114	40.67	lincRNA
ENSG00000259057	15	91742841	91743955	45.74	processed_pseudogene
ENSG00000168806	15	43323649	43330605	46.08	protein_coding
ENSG00000140395	15	78277835	78299794	43.39	protein_coding
ENSG00000140319	15	40035739	40039188	43.51	protein_coding
ENSG00000259563	15	44516650	44517483	47.48	antisense
ENSG00000260602	15	68254549	68254939	51.15	processed_pseudogene
ENSG00000157823	15	89830599	89894638	44.42	protein_coding
ENSG00000258676	15	92580829	92600545	46.21	processed_transcript
ENSG00000258542	15	91029888	91029996	41.28	transcribed_processed_pseudogene
ENSG00000214432	15	91022619	91036611	47.04	antisense
ENSG00000189136	15	84526781	84571216	39.14	transcribed_unprocessed_pseudogene
ENSG00000259458	15	62637172	62645291	46.50	antisense
ENSG00000104142	15	40894430	40903975	53.64	protein_coding
ENSG00000103855	15	73683966	73714518	52.51	protein_coding
ENSG00000258483	15	98003081	98021777	40.72	lincRNA
ENSG00000255571	15	89361579	89398487	53.82	lincRNA
ENSG00000243404	15	66446455	66446777	45.51	processed_pseudogene
ENSG00000259245	15	36046082	36049529	45.56	lincRNA
ENSG00000259708	15	78250502	78264156	46.77	antisense
ENSG00000137843	15	40238759	40277487	55.24	protein_coding
ENSG00000234797	15	59768352	59769146	42.26	processed_pseudogene
ENSG00000140465	15	74719542	74725610	51.33	protein_coding
ENSG00000166963	15	43510958	43531620	52.57	protein_coding
ENSG00000261426	15	27362310	27366398	42.21	sense_intronic
ENSG00000259168	15	27483035	27541991	39.23	antisense
ENSG00000104059	15	29120254	29570723	43.58	protein_coding
ENSG00000140332	15	70047790	70098176	52.15	protein_coding
ENSG00000259300	15	29612570	29614274	51.32	processed_pseudogene
ENSG00000256802	15	29674990	29680957	53.60	antisense
ENSG00000259299	15	29233673	29235137	43.07	processed_pseudogene
ENSG00000185115	15	29264992	29269829	41.84	protein_coding
ENSG00000259690	15	29373602	29376956	37.68	sense_intronic
ENSG00000242737	15	50466738	50467096	42.62	processed_pseudogene
ENSG00000206149	15	28589492	28685264	42.75	transcribed_unprocessed_pseudogene
ENSG00000260109	15	67985059	67986288	45.53	unprocessed_pseudogene
ENSG00000260170	15	45587351	45676314	42.92	protein_coding
ENSG00000187806	15	72398273	72408029	41.37	protein_coding
ENSG00000213614	15	72340919	72376476	45.73	protein_coding
ENSG00000183643	15	92471654	92501117	44.06	lincRNA
ENSG00000185551	15	96325938	96340263	48.74	protein_coding
ENSG00000186198	15	65045370	65053396	47.80	protein_coding
ENSG00000271336	15	20011153	20011169	41.18	IG_D_gene
ENSG00000277988	15	20012741	20014208	58.11	unprocessed_pseudogene
ENSG00000047346	15	52581317	52709817	37.21	protein_coding
ENSG00000259359	15	96171581	96174339	38.17	lincRNA
ENSG00000231169	15	52505191	52505862	45.39	processed_pseudogene
ENSG00000270301	15	28857882	28858398	52.80	processed_pseudogene
ENSG00000259286	15	68833830	68834749	49.67	processed_pseudogene
ENSG00000261649	15	28841833	28848675	51.72	protein_coding
ENSG00000259380	15	38139595	38226887	38.76	lincRNA
ENSG00000259250	15	58587507	58591676	39.16	antisense
ENSG00000242747	15	58869659	58870134	42.23	processed_pseudogene
ENSG00000259438	15	52010999	52019095	44.76	lincRNA
ENSG00000159556	15	76336724	76342476	59.50	protein_coding
ENSG00000259232	15	65475318	65475614	53.87	processed_pseudogene
ENSG00000243403	15	64592979	64593326	52.59	processed_pseudogene
ENSG00000180357	15	64460742	64686068	42.67	protein_coding
ENSG00000259285	15	58065225	58071043	48.99	antisense
ENSG00000167004	15	43746392	43773279	43.02	protein_coding
ENSG00000188869	15	81331217	81374213	42.91	protein_coding
ENSG00000277718	15	74379083	74390535	57.34	lincRNA
ENSG00000260382	15	30882267	30883231	50.36	processed_pseudogene
ENSG00000104064	15	50275392	50355408	39.38	protein_coding
ENSG00000259682	15	64470253	64471364	45.14	sense_intronic
ENSG00000281635	15	99319095	99319623	31.19	protein_coding
ENSG00000200391	15	43863893	43864005	36.28	misc_RNA
ENSG00000264850	15	41866495	41866551	61.40	miRNA
ENSG00000281113	15	21703428	21705627	56.86	lincRNA
ENSG00000171262	15	38454127	38487710	36.34	protein_coding
ENSG00000274765	15	55343141	55343575	36.09	sense_intronic
ENSG00000242028	15	43796142	43803043	49.58	protein_coding
ENSG00000128923	15	58771192	58861900	39.89	protein_coding
ENSG00000128918	15	57953424	58497866	41.16	protein_coding
ENSG00000242667	15	60404463	60404960	52.41	processed_pseudogene
ENSG00000242634	15	67232446	67232837	41.58	processed_pseudogene
ENSG00000166173	15	70829130	70854159	44.62	protein_coding
ENSG00000138604	15	69160584	69272217	36.64	protein_coding
ENSG00000271078	15	32250302	32256125	41.52	processed_pseudogene
ENSG00000171989	15	59206823	59208515	42.47	protein_coding
ENSG00000259241	15	51693216	51695765	39.10	lincRNA
ENSG00000258909	15	93416850	93422576	46.73	lincRNA
ENSG00000259261	15	22184967	22185402	58.03	IG_V_gene
ENSG00000270356	15	22194885	22195317	53.35	IG_V_pseudogene
ENSG00000281550	15	21735506	21735945	55.00	IG_V_pseudogene
ENSG00000278263	15	21742364	21742799	58.03	IG_V_gene
ENSG00000259692	15	81660482	81871125	40.45	lincRNA
ENSG00000259734	15	86630266	86631136	46.15	antisense
ENSG00000278662	15	82339998	82349475	47.97	protein_coding
ENSG00000175779	15	38696598	38700038	47.17	protein_coding
ENSG00000259187	15	44826540	44827094	47.03	lincRNA
ENSG00000259479	15	44825747	44884694	44.76	transcribed_unprocessed_pseudogene
ENSG00000259278	15	39019233	39024918	39.68	lincRNA
ENSG00000175746	15	39250684	39254845	38.71	lincRNA
ENSG00000259641	15	69592129	69695750	46.51	lincRNA
ENSG00000261351	15	66488658	66492109	45.05	antisense
ENSG00000206190	15	25677273	25865172	46.51	protein_coding
ENSG00000090470	15	65117379	65133836	45.72	protein_coding
ENSG00000137814	15	42548810	42569994	42.11	protein_coding
ENSG00000171766	15	45361124	45402327	40.25	protein_coding
ENSG00000103832	15	30791573	30801859	53.01	unprocessed_pseudogene
ENSG00000279765	15	92883413	92949230	38.36	protein_coding
ENSG00000259650	15	73335260	73342387	55.27	antisense
ENSG00000261823	15	56408483	56410186	42.14	lincRNA
ENSG00000259941	15	56394321	56396785	31.64	lincRNA
ENSG00000275417	15	56248787	56249127	35.19	sense_intronic
ENSG00000138617	15	65234460	65300618	46.92	protein_coding
ENSG00000159459	15	42942897	43106113	39.81	protein_coding
ENSG00000166206	15	26543546	26939539	41.34	protein_coding
ENSG00000178081	15	30103720	30131757	39.90	transcribed_unprocessed_pseudogene
ENSG00000269951	15	77067654	77068325	37.65	sense_intronic
ENSG00000260274	15	75368155	75369584	54.55	lincRNA
ENSG00000257647	15	25027736	25032047	36.34	lincRNA
ENSG00000242088	15	24910874	24911125	49.21	processed_pseudogene
ENSG00000270814	15	25169337	25169676	59.12	processed_pseudogene
ENSG00000241061	15	24908932	24909825	43.40	processed_pseudogene
ENSG00000259378	15	50944663	50945996	39.43	processed_pseudogene
ENSG00000261628	15	30899480	30900327	33.61	unprocessed_pseudogene
ENSG00000259416	15	85754941	85756237	55.74	antisense
ENSG00000259657	15	59676757	59677321	52.04	processed_pseudogene
ENSG00000174171	15	41892793	41898575	56.32	antisense
ENSG00000260957	15	62284190	62285006	42.72	lincRNA
ENSG00000259883	15	41921417	41928883	45.33	antisense
ENSG00000140307	15	59638062	59657541	39.73	protein_coding
ENSG00000259543	15	81427448	81755217	38.25	lincRNA
ENSG00000170113	15	22773063	22829791	46.41	protein_coding
ENSG00000259177	15	90393490	90397881	44.42	antisense
ENSG00000137821	15	70853239	71053657	38.17	protein_coding
ENSG00000259460	15	37099339	37100173	44.91	antisense
ENSG00000270523	15	25130978	25131337	27.50	sense_intronic
ENSG00000280234	15	25255579	25257027	48.79	TEC
ENSG00000259453	15	85701109	85702771	44.32	sense_intronic
ENSG00000273540	15	86079973	87029052	39.14	protein_coding
ENSG00000136379	15	80679684	80755621	42.95	protein_coding
ENSG00000259098	15	22258138	22258848	74.54	processed_pseudogene
ENSG00000243789	15	41828085	41837581	54.81	protein_coding
ENSG00000261423	15	72407778	72475168	40.16	lincRNA
ENSG00000197535	15	52307283	52529050	39.92	protein_coding
ENSG00000258739	15	92420860	92422735	43.23	transcribed_processed_pseudogene
ENSG00000213527	15	79751689	79752049	50.14	processed_pseudogene
ENSG00000140575	15	90388218	90502243	40.77	protein_coding
ENSG00000259532	15	70748932	70754177	41.21	lincRNA
ENSG00000259346	15	65301922	65302311	62.31	processed_pseudogene
ENSG00000259411	15	35400691	35401768	47.12	processed_pseudogene
ENSG00000136381	15	78437431	78501456	39.42	protein_coding
ENSG00000259585	15	35298249	35299440	47.40	processed_pseudogene
ENSG00000283401	15	21614118	21615038	43.76	unprocessed_pseudogene
ENSG00000166912	15	30938941	30991607	39.99	protein_coding
ENSG00000259413	15	78382573	78383155	36.36	processed_pseudogene
ENSG00000258707	15	20626819	20627365	47.35	processed_pseudogene
ENSG00000280655	15	21752278	21752710	53.35	IG_V_pseudogene
ENSG00000225625	15	56846340	56846605	38.72	processed_pseudogene
ENSG00000276524	15	56887107	56888219	58.04	lincRNA
ENSG00000028528	15	64094123	64146090	43.68	protein_coding
ENSG00000067225	15	72199029	72231822	48.38	protein_coding
ENSG00000259361	15	80263068	80341805	43.18	lincRNA
ENSG00000259464	15	101562536	101562974	61.28	processed_pseudogene
ENSG00000259695	15	101580893	101581556	41.42	processed_pseudogene
ENSG00000128928	15	40405795	40435947	50.90	protein_coding
ENSG00000259327	15	52116574	52122131	50.14	lincRNA
ENSG00000275175	15	92819598	92819992	36.71	lincRNA
ENSG00000259726	15	84186752	84197384	58.00	unprocessed_pseudogene
ENSG00000263070	15	30380353	30386987	38.09	transcribed_unprocessed_pseudogene
ENSG00000137801	15	39581079	39599466	43.51	protein_coding
ENSG00000205363	15	73735431	73752747	54.89	protein_coding
ENSG00000279694	15	78339208	78341757	58.63	TEC
ENSG00000258585	15	21911559	21912590	37.60	unprocessed_pseudogene
ENSG00000261219	15	57720295	57720928	43.38	lincRNA
ENSG00000137871	15	56630181	56918571	37.52	protein_coding
ENSG00000280076	15	93206066	93208048	49.22	TEC
ENSG00000140280	15	51723011	51751585	41.49	protein_coding
ENSG00000181984	15	20562375	20575696	49.20	unprocessed_pseudogene
ENSG00000248079	15	35546195	35859001	37.09	lincRNA
ENSG00000138587	15	56421544	56465137	35.19	protein_coding
ENSG00000182636	15	23685400	23687330	52.51	protein_coding
ENSG00000237161	15	21293653	21295201	44.03	processed_pseudogene
ENSG00000035664	15	63907036	64072033	46.89	protein_coding
ENSG00000273585	15	101613676	101614339	58.58	lincRNA
ENSG00000234664	15	29730713	29730985	51.65	processed_pseudogene
ENSG00000259523	15	29822631	29824081	47.76	antisense
ENSG00000275016	15	95638346	95825451	37.24	lincRNA
ENSG00000134138	15	36889204	37101299	38.26	protein_coding
ENSG00000260642	15	32359538	32367784	55.47	lincRNA
ENSG00000174498	15	65327127	65378040	51.86	protein_coding
ENSG00000258888	15	93257198	93260475	46.46	lincRNA
ENSG00000128872	15	51751561	51816368	41.52	protein_coding
ENSG00000259644	15	29728186	29729531	40.12	sense_intronic
ENSG00000273721	15	60409234	60409420	44.39	unprocessed_pseudogene
ENSG00000215567	15	19878555	19887814	33.76	unprocessed_pseudogene
ENSG00000271288	15	22178107	22178542	55.05	IG_V_pseudogene
ENSG00000259573	15	59964942	59966084	46.11	processed_pseudogene
ENSG00000179938	15	30083053	30093499	53.10	protein_coding
ENSG00000228740	15	27157615	27161319	41.08	antisense
ENSG00000280639	15	70570958	70586606	49.19	lincRNA
ENSG00000281264	15	70615547	70616567	48.58	lincRNA
ENSG00000278493	15	41908204	41908714	46.18	sense_intronic
ENSG00000243708	15	41837775	41848147	60.49	protein_coding
ENSG00000242866	15	43599398	43618800	50.99	protein_coding
ENSG00000241130	15	50798670	50798951	46.45	processed_pseudogene
ENSG00000273674	15	50839875	50908599	41.72	lincRNA
ENSG00000259570	15	84394512	84395514	60.12	unprocessed_pseudogene
ENSG00000259518	15	82088594	82097694	45.24	lincRNA
ENSG00000279235	15	78906127	78906809	44.07	TEC
ENSG00000166415	15	53513741	53762878	36.62	protein_coding
ENSG00000104067	15	29699367	29968865	40.21	protein_coding
ENSG00000258527	15	92795647	92796439	52.46	processed_pseudogene
ENSG00000261524	15	28402868	28405033	56.19	processed_pseudogene
ENSG00000259704	15	90839724	90841378	53.53	sense_overlapping
ENSG00000260844	15	28763440	28764151	49.58	processed_pseudogene
ENSG00000278570	15	71792638	71818259	49.58	protein_coding
ENSG00000188089	15	41981582	42051190	50.21	protein_coding
ENSG00000103599	15	67254800	67502260	39.22	protein_coding
ENSG00000114062	15	25333728	25439056	36.21	protein_coding
ENSG00000185823	15	24675868	24683393	47.42	protein_coding
ENSG00000182718	15	60347134	60402883	44.95	protein_coding
ENSG00000261794	15	30604126	30614561	53.12	protein_coding
ENSG00000185442	15	92617443	92809884	44.69	protein_coding
ENSG00000258570	15	94168349	94168751	48.39	processed_pseudogene
ENSG00000261418	15	23430839	23435212	47.07	unprocessed_pseudogene
ENSG00000259749	15	30005205	30006430	36.70	unprocessed_pseudogene
ENSG00000259295	15	85191438	85213905	55.28	transcribed_unprocessed_pseudogene
ENSG00000166192	15	72114258	72143688	40.36	protein_coding
ENSG00000271232	15	68749501	68750691	48.19	processed_pseudogene
ENSG00000229212	15	85205440	85234795	44.73	transcribed_unprocessed_pseudogene
ENSG00000278313	15	72604399	72605008	58.36	unprocessed_pseudogene
ENSG00000260144	15	72605183	72612326	52.67	unprocessed_pseudogene
ENSG00000268531	15	21368459	21370621	63.34	lincRNA
ENSG00000260288	15	75737820	75763321	49.10	processed_transcript
ENSG00000274444	15	37109587	37109984	43.22	lincRNA
ENSG00000270304	15	37253879	37254952	38.73	processed_pseudogene
ENSG00000243122	15	37490691	37491103	59.56	processed_pseudogene
ENSG00000277867	15	22714939	22715225	63.41	processed_pseudogene
ENSG00000259434	15	37365027	37490808	37.27	lincRNA
ENSG00000205771	15	43726918	43747094	44.36	transcribed_unprocessed_pseudogene
ENSG00000271725	15	81303215	81309391	47.58	3prime_overlapping_ncRNA
ENSG00000069869	15	55826922	55993746	38.51	protein_coding
ENSG00000260784	15	30516079	30517867	53.21	unprocessed_pseudogene
ENSG00000058335	15	78959947	79090773	49.95	protein_coding
ENSG00000260232	15	23975172	24003435	40.96	lincRNA
ENSG00000198838	15	33310945	33866121	41.56	protein_coding
ENSG00000275929	15	91031246	91031691	43.50	unprocessed_pseudogene
ENSG00000260672	15	72615810	72618250	48.59	lincRNA
ENSG00000276593	15	49353485	49354034	28.00	sense_intronic
ENSG00000275580	15	49343608	49344254	31.22	lincRNA
ENSG00000261632	15	71972206	72040265	37.47	antisense
ENSG00000260978	15	23567264	23569657	35.71	antisense
ENSG00000283345	15	30507377	30513698	38.90	unprocessed_pseudogene
ENSG00000230778	15	40281444	40282586	73.84	protein_coding
ENSG00000259307	15	40300670	40301820	50.91	antisense
ENSG00000259424	15	98646951	98647371	51.07	antisense
ENSG00000257109	15	101875964	101876901	46.06	unprocessed_pseudogene
ENSG00000259646	15	101903154	101903204	43.14	unprocessed_pseudogene
ENSG00000230183	15	56005715	56007176	43.16	processed_pseudogene
